,o,d,Run,Buckets,issues,l_steps,CI2,n_agents,p
1318,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1100,0.3,0.4,3,2,3,1500,True,100,0.2
1098,0.25,0.8999999999999999,3,1,3,1500,True,100,0.2
959,0.25,0.6,3,1,3,1500,True,100,0.2
958,0.25,0.6,3,5,3,1500,True,100,0.2
957,0.25,0.55,3,2,3,1500,True,100,0.2
956,0.25,0.6,3,2,3,1500,True,100,0.2
955,0.25,0.55,3,2,3,1500,True,100,0.2
954,0.25,0.6,3,2,3,1500,True,100,0.2
953,0.25,0.6,3,2,3,1500,True,100,0.2
952,0.25,0.55,3,4,3,1500,True,100,0.2
951,0.25,0.55,3,2,3,1500,True,100,0.2
950,0.25,0.55,3,2,3,1500,True,100,0.2
949,0.25,0.55,3,2,3,1500,True,100,0.2
948,0.25,0.55,3,2,3,1500,True,100,0.2
947,0.25,0.55,3,3,3,1500,True,100,0.2
946,0.25,0.55,3,3,3,1500,True,100,0.2
945,0.25,0.55,3,2,3,1500,True,100,0.2
944,0.25,0.55,3,2,3,1500,True,100,0.2
943,0.25,0.55,3,2,3,1500,True,100,0.2
942,0.25,0.5,3,4,3,1500,True,100,0.2
941,0.25,0.55,3,2,3,1500,True,100,0.2
940,0.25,0.55,3,2,3,1500,True,100,0.2
939,0.25,0.5,3,2,3,1500,True,100,0.2
938,0.25,0.5,3,2,3,1500,True,100,0.2
937,0.25,0.5,3,2,3,1500,True,100,0.2
960,0.25,0.6,3,4,3,1500,True,100,0.2
961,0.25,0.6,3,2,3,1500,True,100,0.2
962,0.25,0.6,3,5,3,1500,True,100,0.2
963,0.25,0.6,3,2,3,1500,True,100,0.2
987,0.25,0.6499999999999999,3,2,3,1500,True,100,0.2
986,0.25,0.55,3,3,3,1500,True,100,0.2
985,0.25,0.6499999999999999,3,2,3,1500,True,100,0.2
984,0.25,0.6499999999999999,3,2,3,1500,True,100,0.2
983,0.25,0.6499999999999999,3,2,3,1500,True,100,0.2
982,0.25,0.6499999999999999,3,2,3,1500,True,100,0.2
981,0.25,0.6499999999999999,3,1,3,1500,True,100,0.2
980,0.25,0.6499999999999999,3,4,3,1500,True,100,0.2
979,0.25,0.6499999999999999,3,1,3,1500,True,100,0.2
978,0.25,0.6499999999999999,3,2,3,1500,True,100,0.2
977,0.25,0.6499999999999999,3,4,3,1500,True,100,0.2
936,0.25,0.5,3,2,3,1500,True,100,0.2
976,0.25,0.6499999999999999,3,3,3,1500,True,100,0.2
974,0.25,0.6,3,2,3,1500,True,100,0.2
973,0.25,0.6,3,1,3,1500,True,100,0.2
972,0.25,0.55,3,2,3,1500,True,100,0.2
971,0.25,0.55,3,2,3,1500,True,100,0.2
970,0.25,0.6,3,2,3,1500,True,100,0.2
969,0.25,0.6,3,2,3,1500,True,100,0.2
968,0.25,0.6,3,2,3,1500,True,100,0.2
967,0.25,0.55,3,2,3,1500,True,100,0.2
966,0.25,0.6,3,1,3,1500,True,100,0.2
965,0.25,0.55,3,2,3,1500,True,100,0.2
964,0.25,0.6,3,4,3,1500,True,100,0.2
975,0.25,0.6,3,2,3,1500,True,100,0.2
988,0.25,0.6499999999999999,3,1,3,1500,True,100,0.2
935,0.25,0.55,3,2,3,1500,True,100,0.2
933,0.25,0.5,3,3,3,1500,True,100,0.2
904,0.25,0.45,3,2,3,1500,True,100,0.2
903,0.25,0.4,3,2,3,1500,True,100,0.2
902,0.25,0.45,3,2,3,1500,True,100,0.2
901,0.25,0.45,3,2,3,1500,True,100,0.2
900,0.25,0.45,3,2,3,1500,True,100,0.2
899,0.25,0.4,3,2,3,1500,True,100,0.2
898,0.25,0.4,3,2,3,1500,True,100,0.2
897,0.25,0.4,3,2,3,1500,True,100,0.2
896,0.25,0.45,3,2,3,1500,True,100,0.2
895,0.25,0.4,3,2,3,1500,True,100,0.2
894,0.25,0.4,3,2,3,1500,True,100,0.2
893,0.25,0.4,3,2,3,1500,True,100,0.2
892,0.25,0.4,3,2,3,1500,True,100,0.2
891,0.25,0.4,3,2,3,1500,True,100,0.2
890,0.25,0.4,3,2,3,1500,True,100,0.2
889,0.25,0.4,3,2,3,1500,True,100,0.2
888,0.25,0.4,3,2,3,1500,True,100,0.2
887,0.25,0.4,3,2,3,1500,True,100,0.2
886,0.25,0.4,3,2,3,1500,True,100,0.2
885,0.25,0.4,3,2,3,1500,True,100,0.2
884,0.25,0.4,3,2,3,1500,True,100,0.2
883,0.25,0.4,3,2,3,1500,True,100,0.2
882,0.25,0.4,3,2,3,1500,True,100,0.2
905,0.25,0.45,3,2,3,1500,True,100,0.2
906,0.25,0.45,3,2,3,1500,True,100,0.2
907,0.25,0.45,3,2,3,1500,True,100,0.2
908,0.25,0.45,3,2,3,1500,True,100,0.2
932,0.25,0.5,3,2,3,1500,True,100,0.2
931,0.25,0.5,3,2,3,1500,True,100,0.2
930,0.25,0.5,3,2,3,1500,True,100,0.2
929,0.25,0.5,3,2,3,1500,True,100,0.2
928,0.25,0.5,3,2,3,1500,True,100,0.2
927,0.25,0.5,3,2,3,1500,True,100,0.2
926,0.25,0.5,3,2,3,1500,True,100,0.2
925,0.25,0.5,3,2,3,1500,True,100,0.2
924,0.25,0.5,3,2,3,1500,True,100,0.2
923,0.25,0.45,3,3,3,1500,True,100,0.2
922,0.25,0.5,3,2,3,1500,True,100,0.2
934,0.25,0.5,3,2,3,1500,True,100,0.2
921,0.25,0.5,3,2,3,1500,True,100,0.2
919,0.25,0.5,3,2,3,1500,True,100,0.2
918,0.25,0.45,3,2,3,1500,True,100,0.2
917,0.25,0.45,3,2,3,1500,True,100,0.2
916,0.25,0.45,3,10,3,1500,True,100,0.2
915,0.25,0.45,3,2,3,1500,True,100,0.2
914,0.25,0.45,3,2,3,1500,True,100,0.2
913,0.25,0.45,3,2,3,1500,True,100,0.2
912,0.25,0.45,3,2,3,1500,True,100,0.2
911,0.25,0.45,3,2,3,1500,True,100,0.2
910,0.25,0.45,3,2,3,1500,True,100,0.2
909,0.25,0.45,3,2,3,1500,True,100,0.2
920,0.25,0.5,3,2,3,1500,True,100,0.2
1099,0.25,0.8999999999999999,3,2,3,1500,True,100,0.2
989,0.25,0.6499999999999999,3,1,3,1500,True,100,0.2
991,0.25,0.6499999999999999,3,2,3,1500,True,100,0.2
1069,0.25,0.8499999999999999,3,1,3,1500,True,100,0.2
1068,0.25,0.8499999999999999,3,1,3,1500,True,100,0.2
